"column_name","data_type"
"TransactionDate","timestamp without time zone"
"CustomerAge","integer"
"TransactionAmount","numeric"
"TransactionDuration","integer"
"LoginAttempts","integer"
"AccountBalance","numeric"
"PreviousTransactionDate","timestamp without time zone"
"Channel","character varying"
"CustomerOccupation","character varying"
"MerchantID","character varying"
"AccountID","character varying"
"TransactionType","character varying"
"Location","character varying"
"DeviceID","character varying"
"IP Address","character varying"
"TransactionID","character varying"
